Full Complaint ID,Complaint Year Number,Month Number,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id,NYS_Specified,NIBRS_Code,NIBRS_Group,Crime_Against,DCJS_Hate_Crimes,Violent
202102412277917,2021,6,24,PATROL BORO MAN NORTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-GENDER NON-CONFORMING,Gender,2021-06-04,M33688716,1,13A,A,Person,1,1
202102512481117,2021,7,25,PATROL BORO MAN NORTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2021-07-23,M33694195,1,13A,A,Person,1,1
202207012365017,2022,5,70,PATROL BORO BKLYN SOUTH,KINGS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2022-08-07,M34701480,1,13C,A,Person,1,0
201902512693417,2019,9,25,PATROL BORO MAN NORTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,2019-09-05,M31712039,1,13A,A,Person,1,1
202101412871317,2021,9,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,STRANGULATION 1ST,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2021-09-11,M33700248,1,13A,A,Person,1,1
202200612405617,2022,6,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2022-07-12,M34697999,1,13B,A,Person,1,1
201901812890617,2019,10,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2019-10-23,M31719199,1,290,A,Property,1,0
202003012103417,2020,1,30,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-LGBT (MIXED GROUP),Sexual Orientation,2020-01-30,M32676128,1,13B,A,Person,1,1
202001012277017,2020,1,10,PATROL BORO MAN SOUTH,NEW YORK,FELONY,SEX CRIMES,SEXUAL ABUSE,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2021-02-22,M33677656,1,11D,A,Person,1,1
202103212587717,2021,8,32,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,2021-08-26,M33698436,1,13C,A,Person,1,0
